recall@1,mrr@1,recall@3,mrr@3,recall@5,mrr@5,recall@10,mrr@10,method,model_name,num_queries,corpus_size,corpus_encode_time_sec,query_encode_time_sec,index_build_time_sec,avg_search_latency_ms
0.82,0.82,0.92,0.87,0.94,0.8740000000000001,0.96,0.8765000000000001,Dense_BGE_M3,BAAI/bge-m3,50,5050,392.6083331108093,0.23807406425476074,0.0,0.08008480072021484
0.74,0.74,0.86,0.7866666666666666,0.88,0.7916666666666665,0.94,0.7983888888888889,Dense_multilingual_E5_base,intfloat/multilingual-e5-base,50,5050,82.3529224395752,0.08912968635559082,0.0029993057250976562,0.07457733154296875
